,具体时间,计算空速,G值,姿态,杆量,坡度,盘量,下滑道偏差（C）,下滑道偏差（L）,下滑道偏差（R）,航向道偏差（C）,航向道偏差（L）,航向道偏差（R）,俯仰角率,下降率,RUDD位置,左油门杆位置,右油门杆位置,飞行姿态变化,坡度变化,RUDD位置变化,左油门杆位置变化,右油门杆位置变化,失重超重情况,杆量情况,盘量情况,下滑道偏差（C）情况,下滑道偏差（L）情况,下滑道偏差（R）情况,航向道偏差（C）情况,航向道偏差（L）情况,航向道偏差（R）情况,俯仰角率情况,下降率情况
0,11:59:59,30,1.0195,-0.3076,-0.001,0.3516,0.0063,-1.35,0.06,1.29,-2.25,-3.88,-2.43,0,0,-0.1719,34.0576,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
1,12:00:00,30,1.0156,-0.3076,-0.001,0.3516,0.0063,-0.8,-0.33,-1.9,-4.6,-3.81,-4.59,-0.0625,0,-0.1719,34.0137,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
2,12:00:01,30,1.0234,-0.3516,-0.001,0.3516,0.0063,-1.37,-1.17,0.74,-2.96,-2.79,-2.89,0,0,-0.1602,34.0137,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
3,12:00:02,30,1.0273,-0.3516,-0.001,0.3516,0.0063,1.6,1.31,-1.47,-3.82,-4.6,-3.83,0,0,-0.1602,34.0576,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
4,12:00:03,30,1.0156,-0.3516,-0.001,0.3516,0.0063,1.22,1.05,2.7,-3.14,-4.59,-3.23,0,0,-0.1836,34.0576,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
5,12:00:04,30,1.0117,-0.3516,-0.001,0.3516,0.0063,1.03,-0.15,1.33,-4.13,-3.23,-4.22,0.0625,0,-0.1836,34.0576,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
6,12:00:05,30,1.0234,-0.3516,-0.001,0.3516,0.0063,2.05,2.79,-3.2,-4.69,5.16,-4.34,0,0,-0.25,34.0576,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常R,正常,异常L,正常,正常,正常
7,12:00:06,30,1.0078,-0.3516,-0.001,0.3516,0.0063,-2.07,-1.84,-1.7,-4.98,-5.14,-5.04,0,0,-0.25,34.0576,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常C,异常L,异常R,正常,正常
8,12:00:07,30,1.0234,-0.3516,-0.001,0.3516,0.0063,-3.12,-2.55,-4,-3.44,-3.21,-3.34,-0.0625,0,-0.2402,34.0576,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常R,正常,正常,正常,正常,正常
9,12:00:08,30,1.0352,-0.3516,-0.001,0.3516,0.0063,-0.05,-0.04,0.28,-4.2,-3.17,-4.21,-0.0625,0,-0.2402,34.0576,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
