,具体时间,计算空速,G值,姿态,杆量,坡度,盘量,下滑道偏差（C）,下滑道偏差（L）,下滑道偏差（R）,航向道偏差（C）,航向道偏差（L）,航向道偏差（R）,俯仰角率,下降率,RUDD位置,左油门杆位置,右油门杆位置,飞行姿态变化,坡度变化,RUDD位置变化,左油门杆位置变化,右油门杆位置变化,失重超重情况,杆量情况,盘量情况,下滑道偏差（C）情况,下滑道偏差（L）情况,下滑道偏差（R）情况,航向道偏差（C）情况,航向道偏差（L）情况,航向道偏差（R）情况,俯仰角率情况,下降率情况
0,8:43:26,30,1.0195,-0.3955,-0.001,0.4395,0,-0.2,-0.04,-3.3,2.59,2.45,2.81,-0.0625,1,-0.2129,34.1016,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常R,正常,正常,正常,正常,正常
1,8:43:27,30,1.0195,-0.3076,-0.001,0.4395,0,2.51,1.76,-3.83,3.01,3.39,2.97,0.125,8,-0.2129,34.1016,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常R,正常,正常,正常,正常,正常
2,8:43:28,30,1.0156,-0.2197,-0.001,0.4395,0,-1.68,-1.54,-2.81,2.95,3.13,3.07,0,6,-0.2324,34.1016,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
3,8:43:29,30,1.043,-0.1758,-0.001,0.4395,0,-1.54,-1.62,-3.42,1.02,1.75,0.99,0,1,-0.2324,34.1016,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常R,正常,正常,正常,正常,正常
4,8:43:30,30,1.0273,-0.1758,-0.001,0.3516,0,0.49,0.28,-2.18,3.43,2.64,3.16,0.0625,-2,-0.2285,34.1016,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
5,8:43:31,30,1.0469,-0.1318,-0.001,0.3516,0.0052,-3.07,-3.17,-3.37,3.64,3.75,4.03,0,-4,-0.2285,34.0576,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常L,异常R,正常,正常,正常,正常,正常
6,8:43:32,30,1.0234,-0.0879,-0.001,0.3516,0.0063,-2.14,-2.4,-3.33,1.57,1.59,1.34,0,3,-0.2227,34.0576,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常R,正常,正常,正常,正常,正常
7,8:43:33,30,1.0156,-0.1318,-0.001,0.4395,0.0063,-3.31,-3.34,-3.66,2.88,3.18,2.79,-0.1875,10,-0.2227,34.0576,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,异常C,异常L,异常R,正常,正常,正常,正常,正常
8,8:43:34,30,1.0156,-0.2197,-0.001,0.4395,0.0063,-3.65,-3.54,-3.3,1.89,1.81,2.01,-0.125,13,-0.2422,34.0576,34.2334,正常,正常,正常,正常,正常,正常,正常,正常,异常C,异常L,异常R,正常,正常,正常,正常,正常
9,8:43:35,30,1.0273,-0.3076,-0.001,0.4395,0.0063,-3.59,-3.22,-2.74,3.27,3.33,3.23,-0.0625,12,-0.2422,34.0576,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,异常C,异常L,正常,正常,正常,正常,正常,正常
10,8:43:36,30,1.0234,-0.3516,-0.001,0.5273,0.0073,-2.86,-2.7,-3.19,1.58,1.73,1.66,-0.1875,9,-0.2461,34.0576,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,异常R,正常,正常,正常,正常,正常
11,8:43:37,30,1.0117,-0.3955,-0.001,0.5273,0.0063,-3.35,-3.08,-2.33,2.89,3,2.96,-0.125,5,-0.2461,34.0576,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,异常C,正常,正常,正常,正常,正常,正常,正常
12,8:43:38,30,1.0078,-0.4395,-0.001,0.5273,0.0063,-2.72,-2.78,-2.01,2.84,2.7,2.76,-0.0625,2,-0.252,34.0576,34.1895,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
