,具体时间,计算空速,G值,姿态,杆量,坡度,盘量,下滑道偏差（C）,下滑道偏差（L）,下滑道偏差（R）,航向道偏差（C）,航向道偏差（L）,航向道偏差（R）,俯仰角率,下降率,RUDD位置,左油门杆位置,右油门杆位置,飞行姿态变化,坡度变化,RUDD位置变化,左油门杆位置变化,右油门杆位置变化,失重超重情况,杆量情况,盘量情况,下滑道偏差（C）情况,下滑道偏差（L）情况,下滑道偏差（R）情况,航向道偏差（C）情况,航向道偏差（L）情况,航向道偏差（R）情况,俯仰角率情况,下降率情况
0,6:17:47,30,1.0078,-0.0879,-0.001,0.2637,0.0104,0.85,1.49,-0.72,2.81,2.76,2.81,0.0625,-8,-0.2617,33.9258,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
1,6:17:48,30,1.0273,-0.0879,-0.001,0.2637,0.0104,-0.28,-0.19,0.37,3.14,3.15,3.14,-0.0625,-14,-0.2598,33.9258,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
2,6:17:49,30,1.0313,-0.0879,-0.001,0.1758,0.0094,1.71,1.9,-0.23,3.03,2.95,3.04,-0.0625,-16,-0.2598,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
3,6:17:50,30,1.0313,-0.0879,-0.001,0.1758,0.0104,0.34,0.96,0.52,2.92,3.03,2.93,-0.0625,-13,-0.2559,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
4,6:17:51,30,1.0195,-0.0879,-0.001,0.1758,0.0104,1.34,0.84,-0.56,3.7,3.74,3.72,-0.0625,-9,-0.2559,33.8379,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
5,6:17:52,30,1.0117,-0.0879,-0.001,0.1758,0.0094,-2.43,-1.58,-0.52,3.94,4.03,3.99,0,-5,-0.2598,33.8379,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
6,6:17:53,30,1.0352,-0.0879,-0.001,0.1758,0.0104,1.08,1.28,-0.58,3.64,3.66,3.73,-0.125,-1,-0.2598,33.8379,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
7,6:17:54,30,1.0273,-0.0879,-0.001,0.1758,0.0094,2.55,2.67,-0.46,3.17,3.22,3.2,0,1,-0.2598,33.8379,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
8,6:17:55,30,1.0313,-0.0879,-0.001,0.1758,0.0104,0.26,0.23,0.17,2.98,2.97,2.99,-0.0625,9,-0.2598,33.8379,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
9,6:17:56,30,1.0156,-0.1318,-0.001,0.1758,0.0104,1.94,2.22,-1.8,2.88,2.82,2.87,-0.0625,8,-0.2578,33.8379,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
10,6:17:57,30,1.0313,-0.1758,-0.001,0.0879,0.0104,0.4,1,-1.21,3.23,3.37,3.23,-0.125,3,-0.2578,33.8379,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
11,6:17:58,30,1.0234,-0.2197,-0.001,0.0879,0.0104,3.71,3.2,0.17,2.98,2.84,3.01,-0.125,-2,-0.2578,33.8379,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,异常C,异常L,正常,正常,正常,正常,正常,正常
12,6:17:59,30,1.0117,-0.2197,-0.001,0,0.0104,1.16,1.93,-0.2,3.41,3.39,3.44,-0.125,-4,-0.2578,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
13,6:18:00,30,1.0391,-0.2637,-0.001,0,0.0104,-1.47,-0.97,1.42,2.67,2.81,2.71,-0.0625,-5,-0.2617,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
14,6:18:01,30,1.0547,-0.2637,-0.001,0.0879,0.0104,-0.7,-0.96,0.46,3.44,3.44,3.47,-0.125,-4,-0.2617,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
15,6:18:02,30,1.0156,-0.2637,-0.001,0.0879,0.0104,1.78,1.13,-0.27,3.13,3.19,3.18,0.125,-2,-0.2617,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
16,6:18:03,30,1.0234,-0.2197,-0.001,0.0879,0.0104,0.17,-0.2,0.52,2.87,3.09,2.9,0.0625,-1,-0.2617,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
17,6:18:04,30,1.0391,-0.2197,-0.001,0.0879,0.0104,0.28,0.79,-0.45,2.94,3.02,2.97,0,0,-0.2617,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
18,6:18:05,30,1.0313,-0.2197,-0.001,0.0879,0.0104,0.85,1.16,-0.51,3.38,3.48,3.38,-0.0625,0,-0.2617,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
19,6:18:06,30,1.0859,-0.2197,-0.001,0.0879,0.0104,0.73,1.02,-0.18,2.85,2.83,2.86,-0.1875,8,-0.2598,33.8818,34.0576,正常,正常,正常,正常,正常,超重,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
20,6:18:07,30,1.0313,-0.2197,-0.001,0.0879,0.0104,-0.89,-1.13,1.63,2.74,3.1,2.78,-0.125,7,-0.2598,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
21,6:18:08,30,1.0234,-0.2637,-0.001,0.0879,0.0104,0.36,0.24,-0.18,3.09,3.34,3.12,-0.0625,2,-0.2598,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
22,6:18:09,30,1.0195,-0.2637,-0.001,0.0879,0.0104,0.33,0.61,0.37,3.71,3.62,3.71,0.125,-2,-0.2598,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
23,6:18:10,30,1.0547,-0.2637,-0.001,0.0879,0.0104,1.46,1.31,-0.67,2.74,3.04,2.77,0,-4,-0.2598,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
24,6:18:11,30,1.0313,-0.2637,-0.001,0.0879,0.0104,1.19,0.61,-0.36,3.39,3.4,3.45,-0.0625,-4,-0.2598,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
25,6:18:12,30,1.0195,-0.2637,-0.001,0.0879,0.0104,3.7,4.54,0.69,2.99,3.14,3.04,0,-4,-0.2559,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,异常C,异常L,正常,正常,正常,正常,正常,正常
26,6:18:13,30,1.0195,-0.2637,-0.001,0.1758,0.0104,1.81,2.44,0.69,3.17,3.1,3.2,0.0625,-2,-0.2559,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
27,6:18:14,30,1.0234,-0.2197,-0.001,0.1758,0.0094,2.14,1.8,-0.08,3.64,3.59,3.72,-0.0625,-1,-0.2539,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
28,6:18:15,30,1.0313,-0.2637,-0.001,0.1758,0.0104,-0.33,0.19,0.24,3.57,3.58,3.62,-0.125,0,-0.2539,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
29,6:18:16,30,1.0469,-0.2637,-0.001,0.1758,0.0104,0.39,1,-0.36,3.48,3.59,3.52,-0.125,8,-0.252,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
30,6:18:17,30,1,-0.3076,-0.001,0.1758,0.0104,-0.02,0.21,-0.36,3.25,3.41,3.27,-0.0625,7,-0.252,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
31,6:18:18,30,1.0469,-0.3076,-0.001,0.1758,0.0104,0.79,0.26,-0.18,3.05,3.24,3.13,0.0625,2,-0.2578,33.8818,34.0576,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
32,6:18:19,30,1.043,-0.3516,-0.001,0.1758,0.0104,1.96,2.31,-0.58,3.41,3.57,3.48,-0.0625,-2,-0.2578,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
33,6:18:20,30,1.0313,-0.3076,-0.001,0.1758,0.0104,1.41,0.75,-0.5,3.53,3.49,3.53,0.0625,-4,-0.2676,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
34,6:18:21,30,1.0195,-0.3516,-0.001,0.1758,0.0104,1.3,1.83,0.23,3.35,3.41,3.43,-0.0625,-4,-0.2676,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
35,6:18:22,30,1.043,-0.3076,-0.001,0.0879,0.0104,0.25,0.39,0.14,3.27,3.26,3.38,0,4,-0.2695,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
36,6:18:23,30,1.0195,-0.3516,-0.001,0.0879,0.0104,1.07,0.78,0.21,3.32,3.39,3.34,-0.0625,4,-0.2695,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
37,6:18:24,30,1.0273,-0.3076,-0.001,0.1758,0.0104,0.6,0.96,0.2,3.47,3.51,3.49,0.125,1,-0.2344,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
38,6:18:25,30,1.0313,-0.3076,-0.001,0.1758,0.0104,1.29,1.26,-0.42,3.22,3.23,3.29,-0.1875,6,-0.2344,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
39,6:18:26,30,1.0508,-0.2637,-0.001,0.1758,0.0104,0.4,0.62,-0.57,3.44,3.48,3.52,0.0625,10,-0.2402,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
40,6:18:27,30,1.0195,-0.2637,-0.001,0.1758,0.0104,-0.5,-0.48,-0.56,3.38,3.39,3.49,-0.125,4,-0.2402,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
41,6:18:28,30,1.0352,-0.3076,-0.001,0.1758,0.0104,-0.23,-0.75,-0.08,3.42,3.37,3.51,0,4,-0.2598,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
42,6:18:29,30,1.0273,-0.3076,-0.001,0.0879,0.0104,0.17,0.34,-0.23,3.53,3.57,3.61,0,6,-0.2598,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
43,6:18:30,30,1.0391,-0.3516,-0.001,0.0879,0.0104,1.47,0.91,-0.11,3.4,3.36,3.49,0,6,-0.2617,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
44,6:18:31,30,1.0195,-0.3516,-0.001,0.0879,0.0104,-0.02,0.24,-0.78,3.13,3.16,3.23,0,5,-0.2617,33.8818,34.1016,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常
